mark,year,mileage,fuel,price
0,2010,212000,2,23300
0,2009,216000,2,22900
0,2010,164000,2,25900
0,2014,175000,2,34900
0,2011,154000,2,32900
0,2014,162372,2,33900
0,2015,130000,3,31600
0,2012,59500,2,24900
0,2010,224000,3,22499
0,2012,149465,2,29990
0,2019,131178,3,66500
0,2010,138800,2,28900
0,2012,122399,2,32900
0,2010,173000,3,22500
0,2015,82904,2,36900
0,2011,319000,3,17900
0,2012,189000,2,27900
0,2010,173000,2,27900
0,2010,154000,2,25900
0,2011,249000,3,20900
0,2013,231031,2,30800
0,2013,242000,3,23900
0,2011,151000,2,25900
0,2012,247000,3,19900
0,2011,108800,2,23900
0,2017,48000,2,44900
0,2012,116000,2,31900
0,2014,102000,2,43500
0,2010,181000,0,27000
0,2015,108000,2,41900
0,2012,218000,3,26699
0,2011,227907,3,18900
0,2013,106000,2,37900
0,2012,270000,3,19500
0,2005,186203,2,9400
0,2011,152765,2,24990
0,2012,150000,2,26600
0,2010,192350,3,26700
0,2012,74000,2,32500
0,2011,215000,3,19500
0,2014,112011,2,31000
0,2011,106000,2,25900
0,2012,140213,2,26500
0,2016,142677,3,35000
0,2012,126311,2,33000
0,2012,256125,3,25800
0,2014,113000,2,36900
0,2012,138000,2,26700
0,2010,201275,3,20500
0,2011,141300,2,24700
0,2016,77917,0,50000
0,2015,100000,2,35000
0,2010,154000,3,20900
0,2014,259000,3,30500
0,2015,194500,3,31900
0,2013,133000,2,35900
0,2011,203980,3,24600
0,2011,169111,2,20900
0,2011,245600,3,18450
0,2012,126311,2,33000
0,2014,154384,2,34000
0,2011,168000,2,29900
0,2012,90000,2,31900
0,2010,173000,2,27900
0,2010,121000,2,26900
0,2011,158700,2,29900
0,2012,239200,3,23900
0,2013,218000,3,25900
0,2010,174000,2,22900
0,2010,85000,2,23999
0,2017,79000,0,47500
0,2015,150000,2,35900
0,2013,225000,3,29900
0,2010,132000,2,25900
0,2010,172000,2,26800
0,2012,77202,2,32900
0,2013,214255,0,25900
0,2011,127000,2,27000
0,2014,154500,3,28900
0,2011,149900,2,28900
0,2011,191000,2,24800
0,2010,227000,3,19995
0,2011,152584,2,26900
0,2010,125000,2,25500
0,2010,196000,2,27990
0,2010,231000,2,23900
0,2010,178000,2,22900
0,2013,84000,2,31999
0,2015,159000,2,36000
0,2011,155500,2,24900
0,2011,52000,2,27900
0,2010,166859,0,35000
0,2011,200000,2,30900
0,2014,136300,2,35000
0,2015,118000,3,31500
0,2010,184900,3,13900
0,2013,160500,3,25999
0,2012,141445,3,24900
0,2010,68700,2,26600
0,2014,149000,2,32900
0,2013,201500,3,21500
0,2015,84000,2,33700
0,2013,180000,2,24999
0,2014,141000,2,33900
0,2014,161025,0,31900
0,2011,185000,2,28900
0,2011,164000,2,23900
0,2012,174500,2,28900
0,2014,81500,2,30900
0,2010,217325,2,22500
0,2013,138200,0,29900
0,2010,161275,2,23900
0,2011,127000,2,32900
0,2012,232500,3,25900
0,2011,175440,2,21900
0,2011,148562,3,25300
0,2012,175000,0,27000
0,2018,67427,2,51000
0,2010,187000,3,21800
0,2012,171000,3,18800
0,2012,260000,3,21900
0,2011,181000,2,24800
0,2013,260000,3,21800
0,2010,75000,2,33333
0,2017,31100,2,51900
0,2012,145000,2,27900
0,2011,126000,2,26999
0,2010,226591,3,15900
0,2011,171000,2,19900
0,2012,180000,2,24999
0,2013,72000,2,33900
0,2014,155068,0,32900
0,2014,248000,3,25900
0,2010,161987,2,23900
0,2011,224000,3,18500
0,2014,226000,3,26900
0,2011,194859,3,23900
0,2011,176000,2,31900
0,2011,249000,2,25900
0,2017,113500,2,39900
0,2010,72663,2,25999
0,2013,196000,3,21700
0,2010,116000,2,26700
0,2011,291000,3,15500
0,2011,96700,2,28999
0,2010,102405,2,29800
0,2011,96000,2,25000
0,2013,156950,2,30900
0,2015,167200,3,26900
0,2012,191000,3,30000
0,2012,199000,3,25900
0,2014,87000,2,29999
0,2016,137000,3,41900
0,2020,34000,2,79999
0,2016,56292,2,62900
0,2020,5600,2,79999
0,2017,151476,0,53900
0,2016,81552,2,59000
0,2019,35359,2,69900
0,2015,132853,3,52000
0,2016,99866,2,53000
0,2020,39800,2,68900
0,2020,34000,2,79999
0,2019,6539,2,62000
0,2020,5600,2,79999
0,2017,43962,2,72400
0,2017,151476,0,53900
0,2018,38792,2,59900
0,2015,132853,3,52000
0,2017,45252,2,45900
0,2016,49472,2,57000
0,2016,60935,2,45000
0,2018,195399,3,46000
0,2018,137094,2,56000
0,2017,60494,2,56000
0,2018,17372,2,63501
0,2018,89383,2,64900
0,2017,128000,3,44900
0,2020,31000,2,75800
0,2016,87316,3,52900
0,2018,179000,3,45850
0,2018,41988,2,52000
0,2018,142000,3,40900
0,2015,130060,2,49900
0,2018,74900,2,59850
0,2018,21278,2,67900
0,2018,41320,2,79900
0,2019,85092,3,61900
0,2018,123000,2,63900
0,2018,44960,2,62900
0,2018,91997,2,76900
0,2019,79517,2,64900
0,2018,171100,3,49800
0,2018,104000,2,62900
0,2021,6,2,99600
0,2021,6,2,102600
0,2019,65084,2,65900
0,2021,2000,2,84900
0,2019,68240,3,65900
0,2021,1,2,81950
0,2019,39910,2,69900
0,2018,59000,2,48500
0,2018,178000,2,42000
0,2018,83282,3,48000
0,2018,176000,3,38745
0,2016,138100,2,43500
0,2017,199000,3,36900
0,2019,134355,2,51900
0,2018,128889,2,58900
0,2020,6200,2,65900
0,2018,143400,3,54900
0,2017,50500,2,56900
0,2016,110000,2,53700
0,2019,7026,2,75000
0,2019,4451,2,74500
0,2018,83853,3,67500
0,2018,49200,2,67900
0,2018,91700,2,70900
0,2016,205500,3,35900
0,2017,174843,3,52900
0,2019,68294,2,59900
0,2017,61500,2,43500
0,2018,172000,3,44500
0,2017,104525,3,47900
0,2017,170000,3,38900
0,2019,53394,2,65900
0,2019,22700,2,67900
0,2016,113950,2,42500
0,2018,129000,2,55900
0,2017,48741,2,62000
0,2016,81000,3,42900
0,2018,40617,2,54900
0,2017,120582,3,46000
0,2017,58000,3,55900
0,2018,99507,2,43002
0,2018,98038,3,53900
0,2016,172345,3,43900
0,2019,28078,2,84300
0,2019,19300,2,61800
0,2019,86000,3,62900
0,2019,63000,2,74900
0,2018,49000,2,57800
0,2018,169000,3,51990
0,2019,59000,2,75900
0,2017,74000,3,48997
0,2019,8100,2,57900
0,2021,3,2,99000
0,2018,85132,2,56500
0,2018,56266,2,74500
0,2018,141000,3,49900
0,2018,30700,2,52900
0,2016,98000,3,44500
0,2017,149291,3,52000
0,2018,195399,3,44000
0,2016,98382,3,41000
0,2017,119138,2,53000
0,2017,60494,2,56000
0,2016,136519,3,40000
0,2018,192000,3,44800
0,2021,5,2,100800
0,2017,130391,3,48000
0,2019,74601,2,66900
0,2016,72615,2,52000
0,2018,49000,2,66900
0,2019,31094,2,66000
0,2017,76442,3,50001
0,2018,151362,3,62900
0,2018,104651,3,53900
0,2019,60000,2,65900
0,2017,101380,3,53800
0,2019,116892,2,61500
0,2019,87000,3,55000
0,2019,76550,2,66900
0,2016,189159,3,37515
0,2019,34900,2,74900
0,2017,92901,3,53900
0,2017,102433,3,46900
0,2021,5,2,89500
0,2021,10,3,105200
0,2020,5000,3,79900
0,2018,56670,3,55900
0,2018,116695,3,55900
0,2018,60000,3,57000
0,2019,49568,2,69900
0,2021,11000,2,84990
0,2017,58000,2,57900
0,2021,9050,2,84900
0,2018,72000,2,62800
0,2017,98000,3,42700
0,2017,184000,3,43901
0,2020,5,3,87900
0,2018,133700,2,49800
0,2017,208000,3,45000
0,2019,56000,2,66900
0,2019,8200,2,79900
0,2015,231400,2,35000
0,2018,17000,2,51800
0,2019,38000,3,55000
0,2016,141667,2,39900
0,2016,172807,2,41500
0,2018,86100,2,53900
0,2016,146000,2,50900
0,2016,264125,3,36500
0,2018,85300,2,63900
0,2018,65405,2,58900
0,2016,125000,3,40000
0,2015,129000,2,46700
0,2017,164553,3,46900
0,2017,102800,3,49799
0,2017,153476,3,44799
0,2016,95000,2,51900
0,2018,13955,2,89000
0,2017,54925,3,59500
0,2017,180080,3,40900
0,2018,86000,2,63900
0,2016,169000,0,35900
0,2017,156872,3,44800
0,2016,104000,2,48900
0,2019,100582,2,58900
0,2017,115000,3,37900
0,2017,91000,2,55800
0,2017,131001,3,44900
0,2016,82122,3,42900
0,2018,59200,2,66900
0,2018,177327,3,42799
0,2016,85000,3,44900
0,2018,81288,2,61900
0,2016,76000,3,47000
0,2019,109000,2,57800
0,2016,158000,3,49900
0,2016,139000,2,39975
0,2017,77000,2,41500
0,2017,160154,2,43500
0,2016,111500,2,51900
0,2018,92854,2,47500
0,2019,183677,3,48499
0,2019,43025,2,76500
0,2017,120341,3,41500
0,2017,129121,3,49900
0,2016,121933,3,44900
0,2019,42062,2,58900
0,2015,129000,3,44900
0,2017,140000,2,45900
0,2016,54950,3,58500
0,2015,157500,2,43000
0,2018,129357,3,35670
0,2016,143400,3,40900
0,2016,201658,3,29000
0,2014,178666,3,28900
0,2017,137000,3,39900
0,2016,141859,3,39900
0,2017,149000,3,39852
0,2017,101800,3,44990
0,2018,135403,3,62000
0,2017,121203,3,51900
0,2016,201658,3,29000
0,2018,91000,3,53600
0,2018,185000,3,39975
0,2016,133700,3,38900
0,2012,200000,3,26500
0,2016,256000,3,34900
0,2018,200210,3,44900
0,2014,327300,3,28900
0,2015,149000,3,29900
0,2014,186000,3,24800
0,2016,188655,3,38000
0,2019,61121,3,99900
0,2018,174069,3,33000
0,2018,120263,3,66990
0,2021,6,3,113250
0,2018,91560,3,69700
0,2021,5,2,93900
0,2018,135528,3,67500
0,2019,81100,3,69999
0,2021,1,2,100500
0,1997,222496,2,3500
0,1998,67000,2,6200
0,1998,142800,2,3300
0,1996,162125,2,3500
0,2005,209000,2,6999
0,2003,196000,2,4990
0,2005,154060,2,7700
0,2000,181000,2,6300
0,2006,194186,2,3001
0,2002,206000,2,4900
0,2002,164000,2,7500
0,2002,167000,2,7500
0,2002,212000,2,5900
0,2002,87740,2,9900
0,2004,140000,2,6900
0,2004,153000,3,4499
0,2004,156000,2,8700
0,2006,166300,2,5700
0,2003,200000,2,3900
0,2005,224000,3,4500
0,2000,118113,2,4500
0,2001,143229,2,3600
0,2001,128965,2,5900
0,2005,210000,2,5900
0,2004,242000,2,9900
0,2004,243200,2,5300
0,2005,135000,2,5900
0,2003,193000,2,6300
0,2002,131000,2,4999
0,2000,136000,2,5500
0,2004,233000,2,4900
0,2006,230000,3,5900
0,2013,98962,2,26500
0,2014,142699,2,25900
0,2012,96839,2,19000
0,2012,112607,2,20500
0,2012,176000,0,21900
0,2013,71291,2,33500
0,2008,191473,2,15700
0,2008,129000,2,12499
0,2009,227100,3,14600
0,2013,173000,2,22900
0,2013,68698,2,27900
0,2011,162334,2,18000
0,2010,145051,2,16900
0,2009,220000,2,14800
0,2009,190000,2,14200
0,2011,157000,2,20000
0,2009,202267,0,10500
0,2012,82169,2,26900
0,2014,78704,2,26500
0,2011,171000,2,16900
0,2012,139604,2,21990
0,2008,169000,2,13500
0,2014,122208,0,26500
0,2011,103480,2,19900
0,2011,145000,2,16500
0,2015,110858,2,31900
0,2011,184000,2,15900
0,2007,150000,2,10200
0,2012,163000,2,20700
0,2007,154000,2,8900
0,2011,196000,2,12900
0,2014,50112,2,21900
0,2009,123000,2,11999
0,2009,160000,3,8900
0,2009,98600,2,13900
0,2012,155344,2,19900
0,2013,170000,2,20900
0,2011,136000,2,14500
0,2011,157259,2,27999
0,2013,36300,2,28000
0,2012,146293,0,19900
0,2013,130000,2,20900
0,2011,163000,2,18900
0,2008,188000,2,13700
0,2007,107000,2,11200
0,2013,41200,2,25900
0,2012,138000,2,17900
0,2011,165000,2,14900
0,2011,94000,2,17999
0,2014,161000,2,18900
0,2009,139672,2,10999
0,2007,218000,2,26700
0,2011,171000,2,17990
0,2007,203800,2,13500
0,2014,133794,0,22500
0,2009,186530,2,14990
0,2014,41900,0,24800
0,2008,198000,2,16155
0,2009,141000,2,10900
0,2007,201519,2,11900
0,2012,108000,2,14900
0,2014,113000,2,18900
0,2008,162000,2,15900
0,2009,156317,2,11900
0,2008,187000,3,9200
0,2013,146300,2,25800
0,2008,130000,2,13500
0,2012,148000,0,18499
0,2011,228000,3,17900
0,2009,117770,0,15500
0,2014,53393,2,19850
0,2009,121000,2,11500
0,2012,146000,2,19900
0,2008,181000,2,14900
0,2009,124000,2,14900
0,2012,86000,2,19999
0,2014,87303,2,25999
0,2014,112000,2,24900
0,2011,169000,2,21900
0,2009,104000,2,15900
0,2012,178000,2,14990
0,2010,107000,2,21900
0,2013,35258,2,26999
0,2011,86035,2,22500
0,2007,42950,2,15700
0,2011,153000,2,18000
0,2008,180641,2,11900
0,2007,256294,2,12900
0,2008,218281,0,8000
0,2012,239000,2,14500
0,2011,82000,2,18600
0,2009,168900,2,12950
0,2007,155000,2,12500
0,2007,163111,2,15900
0,2012,138000,2,18900
0,2011,118414,2,12900
0,2009,121000,2,9900
0,2007,195000,3,2990
0,2011,152350,2,17500
0,2010,81000,2,20900
0,2009,102000,2,10900
0,2008,270000,3,4900
0,2011,185000,2,17900
0,2009,188000,2,16200
0,2010,189000,2,17999
0,2009,232000,0,9900
0,2006,162100,2,11999
0,2012,146000,2,23900
0,2008,262179,2,11000
0,2013,79800,2,18900
0,2008,177255,2,13456
0,2008,172390,2,11900
0,2007,170000,2,8500
0,2009,160300,2,14900
0,2007,135000,3,13900
0,2011,170000,3,18900
0,2009,174000,2,15900
0,2014,42000,2,28900
0,2008,135002,2,12600
0,2006,251200,0,8400
0,2010,123000,2,15900
0,2007,160500,3,11700
0,2006,199000,2,11900
0,2007,209500,2,11900
0,2008,169000,2,8900
0,2010,196000,0,16900
0,2011,189000,2,15999
0,2007,198150,3,8900
0,2011,169400,2,17950
0,2007,176550,2,12700
0,2009,150000,2,15950
0,2007,168000,2,13500
0,2009,233000,3,14900
0,2014,83717,3,23900
0,2011,180000,2,16900
0,2007,170000,3,11900
0,2011,158000,3,22000
0,2009,180000,2,16900
0,2014,75000,2,24900
0,2012,157000,2,22900
0,2007,231000,3,6000
0,2008,56469,2,19800
0,2006,283200,3,6500
0,2010,121584,2,29800
0,2007,196548,3,10400
0,2008,127500,2,10999
0,2007,225300,3,10300
0,2010,130000,2,12900
0,2011,181000,2,19800
0,2012,144000,2,21900
0,2008,170000,3,11999
0,2010,185077,2,16900
0,2008,110700,2,13800
0,2010,90000,2,17900
0,2014,63200,2,28500
0,2012,206000,2,15800
0,2011,120837,2,20900
0,2011,110000,2,17800
0,2011,169000,2,16990
0,2008,133000,2,9900
0,2011,166000,2,16200
0,2002,75000,2,7800
0,2007,140000,2,13500
0,2016,95000,0,35999
0,2017,77267,2,42500
0,2019,88385,2,39500
0,2015,39000,2,37900
0,2018,120300,0,43900
0,2017,125000,2,35800
0,2015,132449,2,33900
0,2018,63210,2,39500
0,2017,20000,2,33900
0,2019,88385,2,39500
0,2016,82421,0,36000
0,2017,15716,2,38000
0,2016,54000,2,33900
0,2019,21726,2,52900
0,2019,2900,2,39900
0,2019,45011,0,49900
0,2018,136000,0,39900
0,2018,160000,0,33700
0,2016,56477,2,38900
0,2017,20904,2,38900
0,2019,60400,0,49300
0,2018,82000,0,44900
0,2016,29000,2,37500
0,2015,97089,0,34900
0,2019,13382,2,46000
0,2015,91000,2,29900
0,2015,131684,2,27500
0,2018,136000,0,37900
0,2018,63000,2,39800
0,2018,38576,2,49900
0,2018,142441,0,34900
0,2015,82000,2,29999
0,2018,80649,0,52900
0,2016,74418,2,34900
0,2018,149876,0,29900
0,2015,67000,2,31500
0,2019,88847,0,38700
0,2018,70000,2,36600
0,2015,141000,2,24900
0,2015,143694,2,33900
0,2017,82286,2,39900
0,2018,114800,0,39900
0,2019,83500,0,46900
0,2019,72482,0,44900
0,2015,29662,2,40000
0,2017,152131,2,35800
0,2018,151000,0,36900
0,2015,72737,2,36900
0,2018,64100,2,32900
0,2019,86026,0,45900
0,2019,57847,0,49900
0,2017,67500,2,33500
0,2015,25400,2,30800
0,2015,101000,2,32900
