mark,year,mileage,fuel,price,result
2,2021,16700,3,455100,1.0
4,2013,169000,2,24900,0.25
22,2020,16100,3,249900,1.0
6,2005,222000,0,11900,0.25
0,2014,190000,0,34899,0.25
4,2012,104000,2,39900,0.25
22,2019,30000,2,219900,1.0
2,2008,261000,3,7499,0.0
5,2012,205000,3,45800,0.25
2,2021,5,2,899000,1.0
15,2007,127750,2,15000,0.25
2,2007,260000,2,26999,0.25
11,2010,152000,0,24500,0.25
4,2013,151000,2,28900,0.25
21,2012,159234,2,22500,0.25
12,2013,146000,3,39999,0.25
2,2015,121993,3,75900,0.5
8,2018,75800,0,49900,0.25
1,2006,223000,3,18900,0.25
3,2006,368000,3,14900,0.25
4,2008,198000,2,11900,0.25
8,2015,202000,3,21400,0.25
12,2008,82123,2,22000,0.25
13,2021,2,4,169900,1.0
0,2021,10571,2,89900,0.5
22,2012,159007,3,47900,0.25
2,2001,237470,0,15500,0.25
1,2008,280000,3,27490,0.25
2,2018,69954,3,369999,1.0
0,2012,69407,2,28500,0.25
6,2018,133000,3,125000,0.75
2,2006,227000,2,17999,0.25
22,2008,300000,3,23900,0.25
22,2011,217000,3,32900,0.25
1,2010,355000,3,41900,0.25
7,2016,44065,2,61900,0.5
5,2015,49500,2,299900,1.0
7,2021,6,4,248300,1.0
1,2012,234111,3,51900,0.5
6,2017,42000,2,69900,0.5
0,2009,199000,3,16999,0.25
8,2019,155456,3,118500,0.75
0,2007,251900,3,14900,0.25
7,2016,90230,2,105900,0.75
8,2016,120605,2,76900,0.5
21,2006,316000,2,4674,0.0
7,2015,159855,3,59900,0.5
0,2003,227000,2,4900,0.0
6,2016,71800,3,46900,0.25
1,2007,186000,0,23500,0.25
1,2012,212000,3,36700,0.25
2,2021,5,2,317200,1.0
20,2014,193000,3,42900,0.25
7,2021,1,4,171810,1.0
20,2011,271000,3,33200,0.25
20,2011,178567,3,39900,0.25
3,2009,210306,2,21900,0.25
2,2006,360000,3,12600,0.25
5,2018,77500,2,159900,1.0
1,2018,43500,3,399900,1.0
13,2008,160730,2,24900,0.25
14,2018,12250,2,69500,0.5
16,2006,277000,3,8900,0.0
3,2016,247000,3,71000,0.5
0,2019,64272,3,103800,0.75
2,2020,28800,2,519000,1.0
0,2010,159000,3,21000,0.25
1,2020,4100,2,132000,0.75
1,2010,240000,3,28900,0.25
5,2018,19000,2,360000,1.0
22,2017,43000,2,149900,0.75
12,2011,139570,2,14400,0.25
5,2008,270000,3,13900,0.25
1,2004,232136,3,10990,0.25
20,2009,237000,2,11900,0.25
2,2021,5,3,479000,1.0
13,2022,1,4,141400,0.75
3,2012,218000,3,39900,0.25
21,2015,67300,2,52200,0.5
8,2011,174894,2,31900,0.25
2,2018,76380,3,219900,1.0
0,2017,38000,2,45900,0.25
1,2010,217000,3,45900,0.25
11,2018,121,2,59999,0.5
2,2016,74000,2,189000,1.0
14,2021,10,2,91500,0.5
2,2021,6000,5,161500,1.0
5,2022,2,3,615273,1.0
2,2017,97010,3,199000,1.0
0,2018,54000,3,86000,0.5
11,2010,197200,3,21900,0.25
5,2007,260000,2,17700,0.25
3,2018,123200,2,164900,1.0
14,2009,142740,2,16800,0.25
3,2014,234089,3,52799,0.5
3,2009,170000,3,25900,0.25
19,2014,99000,3,42900,0.25
19,2016,53933,5,55000,0.5
6,2021,10,2,130400,0.75
16,2012,142000,2,52000,0.5
20,2019,86000,3,129900,0.75
7,2018,106040,4,84900,0.5
17,2019,23500,2,119900,0.75
1,2010,366000,3,78000,0.5
11,2002,182000,2,4000,0.0
2,2009,155000,2,27500,0.25
21,2021,10,2,108680,0.75
7,2008,239000,0,32000,0.25
9,2019,13000,2,112900,0.75
15,2013,152300,2,30900,0.25
1,2021,56,3,268120,1.0
4,2006,192000,2,7500,0.0
7,2010,258000,3,21999,0.25
7,2006,249989,2,9900,0.0
2,2006,200017,0,19500,0.25
2,2014,298000,3,48900,0.25
1,2011,163000,2,36200,0.25
4,2010,220000,2,27900,0.25
